historical_hotel,City
Travellers Rest,BALLARAT
Duke of Richmond,BALLARAT
Café de Paris,BALLARAT
McLarens,BALLARAT
Mitchells,BALLARAT
Douglas,BALLARAT
Victoria Mine,BALLARAT
Taits,BALLARAT
Western Mail,BALLARAT
Dublin Castle,BALLARAT
Builders Arms,BALLARAT
Cross Keys,BALLARAT
Kings Head,BALLARAT
Clarence,BALLARAT
Duke of Cornwall,BALLARAT
British,BALLARAT
Jacksons,BALLARAT
Shades Tavern,BALLARAT
Londonderry,BALLARAT
Juncion,BALLARAT
Butchers Arms,BALLARAT
Pick & Shovel,BALLARAT
Royal Britain,BALLARAT
Bowling Green,BALLARAT
Ballarat Club,BALLARAT
Beaufort,BALLARAT
Atlantic,BALLARAT
Crazes,BALLARAT
Band of Hope,BALLARAT
Camp,BALLARAT
Albert,BALLARAT
Stork,BALLARAT
Lancashire Arms,BALLARAT
Regatta,BALLARAT
Lady of the Lake,BALLARAT
Oriental,BALLARAT
Baths Arms,BALLARAT
Golden Gate,BALLARAT
Hibernian,BALLARAT
Garricks Head,BALLARAT
Black Ball,BALLARAT
Freemasonss,BALLARAT
British Nth American,BALLARAT
Western,BALLARAT
Prince Alfred,BALLARAT
Regatta Club,BALLARAT
Royal Geroge,BALLARAT
Green Harp,BALLARAT
Dunks,BALLARAT
Bristol,BALLARAT
Kilkenny & Dublin,BALLARAT
Foleys,BALLARAT
St Nicholas,BALLARAT
Limerick City,BALLARAT
Rock of Cashel,BALLARAT
Clyde,BALLARAT
Sawyers Arms,BALLARAT
Eastern,BALLARAT
New Grove,BALLARAT
Soldiers Hill,BALLARAT
Issbills,BALLARAT
Farmers Return,BALLARAT
Grasshopper,BALLARAT
Welsh Harp,BALLARAT
Pacific,BALLARAT
Knights,BALLARAT
Royal Mail,BALLARAT
Western Brigade,BALLARAT
Kerry,BALLARAT
North Briton,BALLARAT
Myrtle,BALLARAT
Menhennets,BALLARAT
Railway Terminus,BALLARAT
Specimen Hill,BALLARAT
United Kingdom,BALLARAT
Lord Nelson,BALLARAT
Northumberland Arms,BALLARAT
Mt Pleasant,BALLARAT
Pallas Gream,BALLARAT
Sun,BALLARAT
Dutch Harry,BALLARAT
Lubertia Club,BALLARAT
Parade,BALLARAT
Royal Saxon,BALLARAT
Wendouree,BALLARAT
Rising Sun,BALLARAT
Barkers Smithy,BALLARAT
Cronks Bucher Shop,BALLARAT
C of E Vicarage,BALLARAT
McKays Works,BALLARAT
Alfred Hall,BALLARAT
Cricketers Arms,BALLARAT
Challangers,BALLARAT
Mains,BALLARAT
Turf,BALLARAT
Alfred the Great,BALLARAT
Bank,BALLARAT
Ayshire Tavern,BALLARAT
Tattersalls,BALLARAT
Kavanaghs,BALLARAT
City of Cork,BALLARAT
Ancient Druid,BALLARAT
Holloways Factory,BALLARAT
Belmore Arms,BALLARAT
Iona,BALLARAT
Bignells,BALLARAT
Court,BALLARAT
Jamiesons,BALLARAT
Woodmans,BALLARAT
Eagle,BALLARAT
West Freehold,BALLARAT
Racecourse,BALLARAT
Masons Arms,BALLARAT
Bellevue,BALLARAT
Hand in Hand,BALLARAT
Dana,BALLARAT
Morning Star,BALLARAT
St Mungo,BALLARAT
Millers Arms,BALLARAT
Flower of Erin,BALLARAT
Castle & Bowl,BALLARAT
Sir Charles Darling,BALLARAT
Redan Club,BALLARAT
New Market,BALLARAT
Koh-I-Noor,BALLARAT
City Hall,BALLARAT
Sir William Don,BALLARAT
Hislops,BALLARAT
Glencoe,BALLARAT
Newcastle,BALLARAT
Kohls Family,BALLARAT
Antwerp,BALLARAT
Ballarat & Smythesdale,BALLARAT
Extended No 2,BALLARAT
Clan Ricarde,BALLARAT
Fallow,BALLARAT
Flying Squadron,BALLARAT
Munster,BALLARAT
Heart in Hand,BALLARAT
Waverley,BALLARAT
Golden Empire,BALLARAT
Cricket Club,BALLARAT
Nightingale,BALLARAT
Ivey Green,BALLARAT
Walshs Family,BALLARAT
Southern Star,BALLARAT
Stock Exchange,BALLARAT
Royal Alfred,BALLARAT
Dew Drop,BALLARAT
Band & Hand,BALLARAT
Sharps Produce St,BALLARAT
Shears,BALLARAT
Redan Mines,BALLARAT
Harrisons,BALLARAT
Longs Sunshine Biscuit Fty,BALLARAT
Bouderts,BALLARAT
Princess,BALLARAT
Wests,BALLARAT
Pearces Store,BALLARAT
Grape Vine,BALLARAT
Bush Inn,BALLARAT
American Club,BALLARAT
Gong Gong,BALLARAT
Cremorne,BALLARAT
Gannymede,BALLARAT
Suburban,BALLARAT
Watermans Arms,BALLARAT
Tarriff,BALLARAT
Pennyweight,BALLARAT
Saddlers Arms,BALLARAT
Limerick & Templemore,BALLARAT
Dew Drop Inn,BALLARAT
New Eglington,BALLARAT
Star of Erin,BALLARAT
Fellmongers Arms,BALLARAT
Woolpack,BALLARAT
Golden Crown,BALLARAT
Melbourne Cup,BALLARAT
Garibaldi,BALLARAT
Sutton,BALLARAT
Exxex,BALLARAT
Carriers,BALLARAT
Verdon,BALLARAT
Baron Wolseley,BALLARAT
Ballt Palace,BALLARAT
Ben Jonson,BALLARAT
Evans,BALLARAT
Lusitania,BALLARAT
North Humberland Arms,BALLARAT
Sir Wm Wallace,BALLARAT
Staffordshire Arms,BALLARAT
Athletic Club,BALLARAT
Gervasoni Stores,BALLARAT
Peoples Metropole,BALLARAT
Western Station,BALLARAT
St Johns,BALLARAT
Bongiornos Fruit Shop,BALLARAT
Canberra,BALLARAT
North City,BALLARAT
Hobsons Shop,BALLARAT
Irwins Hrdrsr Sal,BALLARAT
Hagers,BALLARAT
Oxford Chambers,BALLARAT
Moreys Buildings,BALLARAT
National Bank,BALLARAT
Regent Pict. Theatre,BALLARAT
Ascot Motor Garage,BALLARAT
Railway,BANNOCKBURN
Somerset,BANNOCKBURN
Leigh Road,BANNOCKBURN
Western,BANNOCKBURN
Royal,BEAUFORT
Barley Mow,BEAUFORT
Red Lion,BEAUFORT
London Tavern,BEAUFORT
Garibaldi,BEAUFORT
Golden Lion,BEAUFORT
Camp,BEAUFORT
Beaufort,BEAUFORT
Commercial,BEAUFORT
Victoria,BEAUFORT
Auld Reekie,BEAUFORT
Court House,BEAUFORT
Crescent City,BEAUFORT
Garabaldi,BEAUFORT
Golden Age,BEAUFORT
Gerards,BEAUFORT
Bicknalls,BEAUFORT
Railway,BEAUFORT
All Nations,BEAUFORT
George,BEAUFORT
Farmers,BEAUFORT
Post Office,BEECHWORTH
Tanswells,BEECHWORTH
Star,BEECHWORTH
Beechworth,BEECHWORTH
El Dorado,BEECHWORTH
Union,BEECHWORTH
Star Hotel & Theatre,BEECHWORTH
Commercial & Family,BEECHWORTH
Criterion,BEECHWORTH
Empire,BEECHWORTH
Allied Arms,BEECHWORTH
Old Half-way House,BEECHWORTH
La Serena,BEECHWORTH
London Tavern,BEECHWORTH
Vine,BEECHWORTH
Albion,BEECHWORTH
Alliance,BEECHWORTH
Exchange,BEECHWORTH
Imperial,BEECHWORTH
Oriental,BEECHWORTH
Shamrock,BEECHWORTH
Victoria,BEECHWORTH
Temple Bar,BEECHWORTH
Yoxalls,BEECHWORTH
Harp of Erin,BEECHWORTH
Newtown,BEECHWORTH
Hibernian,BEECHWORTH
Corner,BEECHWORTH
Black Springs,BEECHWORTH
Dublin Inn,BEECHWORTH
Midland Counties,BEECHWORTH
Railway,BEECHWORTH
Water Right,BEECHWORTH
Hoong Hung,BEECHWORTH
All Nations,BEECHWORTH
Sun Quong Goon,BEECHWORTH
Central,BEECHWORTH
Wy Kee,BEECHWORTH
Town View,BEECHWORTH
Federal,BEECHWORTH
Wardens,BEECHWORTH
Nicholas,BEECHWORTH
Victoria,BENALLA
North Eastern,BENALLA
Benalla,BENALLA
Royal,BENALLA
Black Swan Hotel & Brewery,BENALLA
Broken River,BENALLA
Commercial,BENALLA
Liverpool Arms,BENALLA
Black Swan,BENALLA
Farmers Arms,BENALLA
Five Alls,BENALLA
Shamrock,BENALLA
Ryders,BENALLA
Star,BENALLA
Vineyard,BENALLA
Newmarket,BENALLA
Railway,BENALLA
Australian,BENALLA
Benalla Club,BENALLA
Racecourse,BENALLA
Loch Earn,BENALLA
Carriers Arms,BENALLA
Shamrock Coffee Palace,BENALLA
Mt Pleasant,BENALLA
Cricketers Arms,BENDIGO
Three Tvns,BENDIGO
Kennington,BENDIGO
Violet Street,BENDIGO
Queen St,BENDIGO
Suburban,BENDIGO
Noahs Ark,BENDIGO
Niagara,BENDIGO
Lyceum,BENDIGO
Kensington,BENDIGO
New Chum,BENDIGO
Shenandoah & Shamrock,BENDIGO
Rosalind Park,BENDIGO
New Market,BENDIGO
Show Grouinds,BENDIGO
Windermere,BENDIGO
Newport,BENDIGO
South Atlas,BENDIGO
Southern Cross,BENDIGO
Spittles,BENDIGO
Normanby,BENDIGO
Spring Gully,BENDIGO
Oddfellows,BENDIGO
Star & Garter,BENDIGO
Oiive Branch,BENDIGO
Supreme Court,BENDIGO
Olympic,BENDIGO
Telegraph,BENDIGO
One Tree Hill,BENDIGO
Temple Court,BENDIGO
Orient,BENDIGO
Terminus,BENDIGO
Oriental,BENDIGO
Three Tuns,BENDIGO
Park,BENDIGO
Town Hal,BENDIGO
Park View,BENDIGO
Turf Tavern,BENDIGO
Perseverance,BENDIGO
Tysons Reef,BENDIGO
Prince Bismark,BENDIGO
Unicorn,BENDIGO
Punchs,BENDIGO
Queens,BENDIGO
Union,BENDIGO
Queens Arms,BENDIGO
Queen Street,BENDIGO
Railway,BENDIGO
Union Jack,BENDIGO
Railway Bridge,BENDIGO
Rainbow,BENDIGO
United States of Aust,BENDIGO
Red Lion,BENDIGO
United States,BENDIGO
Reservoir,BENDIGO
Universal,BENDIGO
Victoria,BENDIGO
Rifle Brigade,BENDIGO
Victory,BENDIGO
Rising Sun,BENDIGO
View Bend,BENDIGO
Robert Burns,BENDIGO
View Point,BENDIGO
Rock of Cashel,BENDIGO
Violet St,BENDIGO
Royal,BENDIGO
Washington,BENDIGO
Royal Duke,BENDIGO
Waterloo,BENDIGO
Royal George,BENDIGO
West End,BENDIGO
Royal Mail,BENDIGO
Royal Oak,BENDIGO
Royal Princess,BENDIGO
Saleyards,BENDIGO
Sandhurst,BENDIGO
Saw Mills,BENDIGO
Shamrock,BENDIGO
Yorkshire,BENDIGO
Greyhound,BENDIGO
Coach & Horses,BENDIGO
Limerick,BENDIGO
Glasgow Arms,BENDIGO
Mizen Top,BENDIGO
Her Majestys,BENDIGO
Five Lions,BENDIGO
Athenaeum Club,BENDIGO
Court House,BENDIGO
Albert,BENDIGO
Olive Branch,BENDIGO
Lake View,BENDIGO
Brickmakers Arms,BENDIGO
Limerick Castle,BENDIGO
Albion,BENDIGO
Alll Nations,BENDIGO
Brian Boru,BENDIGO
City Club,BENDIGO
Builders Arms,BENDIGO
Kent,BENDIGO
Britannia,BENDIGO
Mechanics,BENDIGO
Black Swan,BENDIGO
Durham Ox,BENDIGO
Junction,BENDIGO
Beehive Mining Exchange,BENDIGO
Hopetoun,BENDIGO
Law Courts,BENDIGO
Market,BENDIGO
Butts,BENDIGO
McRae St,BENDIGO
Kent Brewery,BENDIGO
Criterion,BENDIGO
Masonic,BENDIGO
Exchange,BENDIGO
