accommodation_name,accommodation_address,accommodation_rating,City
Yarragon Hotel,"105 Princes Hwy, Yarragon VIC 3823, Australia",4.3,DROUIN
Cora's Cottage,"12 Church St, Warragul VIC 3820, Australia",5.0,DROUIN
Nightcap at Sandringham Hotel,"Cnr Beach &, Bay Rd, Sandringham VIC 3191, Australia",4.0,SANDRINGHAM
Sandy Hill Serviced Apartments,"220 Bay Rd, Sandringham VIC 3191, Australia",4.3,SANDRINGHAM
Rose City Motor Inn,"1 Faithfull St, Benalla VIC 3672, Australia",4.0,BENALLA
Comfort Inn Benalla,"48-50 Bridge St W, Benalla VIC 3672, Australia",4.5,BENALLA
Avondel Motor Inn,"21 Bridge St W, Benalla VIC 3672, Australia",4.2,BENALLA
Glider City Motel,"2 Witt St, Benalla VIC 3672, Australia",4.6,BENALLA
Benalla Tourist Park & Motel,"105 Sydney Rd, Benalla VIC 3672, Australia",4.3,BENALLA
Top of the Town Motel,"136-138 Bridge St E, Benalla VIC 3672, Australia",4.5,BENALLA
"Executive Hideaway Motel/Apartments, Benalla","71 Samaria Rd, Benalla VIC 3672, Australia",4.5,BENALLA
North Eastern Hotel - The Northo,"1 Nunn St, Benalla VIC 3672, Australia",4.5,BENALLA
Longview Holiday Let,"282/70619 Upper Taminick Rd, Glenrowan VIC 3675, Australia",0.0,BENALLA
Camberwell Serviced Apartment Hotel,"85 Camberwell Rd, Hawthorn East VIC 3123, Australia",4.2,CAMBERWELL
Pathfinder motel,"380 Cotham Rd, Kew VIC 3101, Australia",3.4,CAMBERWELL
Hawthorn Gardens Serviced Apartments,"750 Toorak Rd, Hawthorn East VIC 3123, Australia",4.0,CAMBERWELL
Box Hill Motel,"177 Station St, Burwood VIC 3125, Australia",4.4,CAMBERWELL
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,CAMBERWELL
Quest Hawthorn,"616 Glenferrie Rd, Hawthorn VIC 3122, Australia",4.1,CAMBERWELL
Quest Mont Albert,"741/745 Whitehorse Rd, Box Hill VIC 3127, Australia",4.5,CAMBERWELL
Comfy Kew Apartments,"3 Studley Park Rd, Kew VIC 3101, Australia",2.8,CAMBERWELL
Quality Suites Beaumont Kew,"7 Studley Park Rd, Kew VIC 3101, Australia",3.3,CAMBERWELL
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,CAMBERWELL
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,CAMBERWELL
Richmond Hill Hotel,"353 Church St, Richmond VIC 3121, Australia",3.9,CAMBERWELL
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CAMBERWELL
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,CAMBERWELL
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,CAMBERWELL
Hotel 115 / 115 Grill & Brewhouse,"115 Cotham Rd, Kew VIC 3101, Australia",4.2,CAMBERWELL
Deco Family House,"1496 Malvern Rd, Glen Iris VIC 3146, Australia",4.5,CAMBERWELL
Whitehorse Apartments Hotel,"770 Whitehorse Rd, Mont Albert VIC 3127, Australia",3.3,CAMBERWELL
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,CAMBERWELL
Riversdale Hotel,"277 Auburn Rd, Hawthorn VIC 3122, Australia",3.7,CAMBERWELL
Sunshine Motor Inn,"608 Ballarat Rd, Ardeer VIC 3022, Australia",4.1,SUNSHINE
Glengala Hotel,"214 Glengala Rd, Sunshine VIC 3020, Australia",3.7,SUNSHINE
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,SUNSHINE
Guiding Star Hotel,"700 Geelong Rd, Brooklyn VIC 3012, Australia",4.1,SUNSHINE
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,SUNSHINE
Discovery Parks - Melbourne,"129 Ashley St, Braybrook VIC 3019, Australia",4.2,SUNSHINE
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,SUNSHINE
Ashley Hotel,"226 Ballarat Rd, Braybrook VIC 3019, Australia",3.9,SUNSHINE
Westend Market Hotel,"47 McIntyre Rd, Sunshine VIC 3020, Australia",3.6,SUNSHINE
Nightcap at Glengala Hotel,"214 Glengala Rd, Sunshine VIC 3020, Australia",4.7,SUNSHINE
St Albans Hotel,"5 McKechnie St, St Albans VIC 3021, Australia",3.9,SUNSHINE
Plough Hotel Footscray,"333 Barkly St, Footscray VIC 3011, Australia",4.3,SUNSHINE
Quest Maribyrnong,"2A Wests Rd, Maribyrnong VIC 3032, Australia",4.6,SUNSHINE
Kealba Hotel,"Sunshine Ave &, Main Rd E, Kealba VIC 3021, Australia",3.6,SUNSHINE
Newport Homestay & Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",4.6,SUNSHINE
Millers Inn,"204 Millers Rd, Altona North VIC 3025, Australia",3.8,SUNSHINE
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,SUNSHINE
Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",3.8,SUNSHINE
The Footscray Hotel,"48 Hopkins St, Footscray VIC 3011, Australia",4.7,SUNSHINE
Nightcap at Ashley Hotel,"226 Ballarat Rd, Braybrook VIC 3019, Australia",3.5,SUNSHINE
Mount Wycheproof Motor Inn,"360 Broadway, Wycheproof VIC 3527, Australia",4.3,WYCHEPROOF
Bottlemart Express - Royal Mail Hotel,"340 Broadway, Wycheproof VIC 3527, Australia",4.4,WYCHEPROOF
Big River Motel,"317 High St, Echuca VIC 3564, Australia",4.0,ECHUCA
Philadelphia Motor Inn,"340 Ogilvie Ave, Echuca VIC 3564, Australia",4.5,ECHUCA
All Rivers Motor Inn,"115 Northern Hwy, Echuca VIC 3564, Australia",4.1,ECHUCA
The Settlement Historic Hotel,"405 High St, Echuca VIC 3564, Australia",3.8,ECHUCA
Echuca Motel,"268 Ogilvie Ave, Echuca VIC 3564, Australia",3.7,ECHUCA
Paddlewheel Motel,"389 High St, Echuca VIC 3564, Australia",4.3,ECHUCA
Old Coach Motor Inn,"288 Ogilvie Ave, Echuca VIC 3564, Australia",4.4,ECHUCA
Caledonian Hotel-Motel,"110 Hare St, Echuca VIC 3564, Australia",4.3,ECHUCA
Riverboat Lodge Motor Inn - Echuca,"476 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
Echuca Rivergum Motor Inn,"85 Northern Hwy, Echuca VIC 3564, Australia",4.4,ECHUCA
Echuca Nirebo Motel,"251 Hare St, Echuca VIC 3564, Australia",3.9,ECHUCA
Golden River Motor Inn,"34 Meninya St, Moama NSW 2731, Australia",4.6,ECHUCA
Georgian Motor Lodge,"373/375 High St, Echuca VIC 3564, Australia",4.8,ECHUCA
