,Hotel_name,City,Hotel_price,Hotel_rating
280,RACV Cape Schanck Resort,CAPE SCHANCK,654,4.5
281,Melbourne River Views,MELBOURNE,330,4.6
282,Toolebewong Farm Cottage,SHIRE OF YARRA RANGES,182,4.9
283,Somerset Residential Apartment,MELBOURNE,154,4.7
284,Dawn's Retreat near the Murray,SHIRE OF INDIGO,131,5.0
285,Quiet and comfortable townhouse - walk to river tram and Highpoint Shopping,MELBOURNE,158,5.0
286,Modern 2-Bedroom @ Southbank & Crown Casino *FREE PARKING + WIFI*,MELBOURNE,214,3.8
287,Vaughan St Guest House Shepparton - Central location long term stay reduced rate,SHEPPARTON,165,4.5
288,Romantic Getaway with Spa and Gardens,SASSAFRAS,307,2.6
289,2BR Suites on Bourke Perfect Location Views,MELBOURNE,177,4.0
290,Walk to Elwood beach and village,MELBOURNE,176,2.6
291,EAST MELBOURNE TERRACE,MELBOURNE,747,3.8
292,Blackburn Holiday Apartment 4,MELBOURNE,115,4.6
293,"""Retreat & Relax @ 128""- Mildura Holiday & Corporate Accommodation",MILDURA VIC,240,4.8
294,Tullaburra Farm Stay and Horse agistment,SHIRE OF MOORABOOL,150,4.8
295,CHIC APARTMENT- CLOSE TO BEACH,MELBOURNE,161,4.8
296,Ravenswood-an iconic Drouin property,SHIRE OF BAW BAW,179,5.0
297,Princes off Chapel in Prahran 2BR with CBD Views,MELBOURNE,180,5.0
298,BOUTIQUE STAYS  Central Park,MELBOURNE,633,4.6
299,Luxury Apt in Southbank,MELBOURNE,300,5.0
300,50th Floor sub penthouse in front of Casino!,MELBOURNE,756,3.8
301,Scandi Stayz Retreat 3,TAWONGA SOUTH,210,2.6
302,One Fine Day We Shall See,MELBOURNE,243,4.6
303,Melbourne Star - central city location - sleeps 5,MELBOURNE,273,4.0
304,"""Carlisle"" - Pearl Apartments St Kilda",MELBOURNE,201,4.7
305,Deluxe 1 Bedroom Twin Apartment & Double Sofa Bed,MELBOURNE,172,4.1
306,Sleek Skyline View Apartment Ideal for City Break,MELBOURNE,454,4.4
307,165 On Bogong - self contained unit,BALLARAT,206,4.2
308,Harbour Escape Apartments Docklands,MELBOURNE,238,4.4
309,A Comfy 2BR Apt with a Panoramic View of the City,MELBOURNE,153,3.9
310,Beach Stay Apartment Melbourne City & Port,MELBOURNE,217,5.0
311,Birches Serviced Apartments,MELBOURNE,175,4.2
312,Oversized Apartment Close to City Parks MCG,MELBOURNE,292,3.9
313,ABODE ON ADENEY FREE WIFI / PET FRIENDLY,MELBOURNE,426,4.9
314,Stunning farmstay in beautiful Harcourt Hills,CITY OF GREATER BENDIGO,149,4.7
315,The Royal Absolute Ripper,MELBOURNE,140,4.7
316,Ultimate location  parking and public transport shopping and restaurants,MELBOURNE,306,3.8
317,executive   Shepparton,SHEPPARTON,226,5.0
318,Very Spacious apartment in city centre close to tourist attractions,MELBOURNE,265,3.5
319,Riverside apartment overlooking parkland with river views.  Near transport,MELBOURNE,155,4.8
320,Superb St Kilda Location 2BR Renovated Art Deco Family-Friendly Quiet Street,MELBOURNE,268,4.8
321,Lake Apartments - Metres to Lake Wendouree,BALLARAT,178,4.7
322,Long Stay Discount Parking Great Family Getaway Close to Zoo Spa Bath BBQ,MELBOURNE,364,4.7
323,AHA @ Port of Sale 12 or 3 bedroom,SHIRE OF WELLINGTON,243,5.0
324,Readyset on Spencer,MELBOURNE,152,4.0
325,Cityside - StayCentral,MELBOURNE,299,3.8
326,Seaside Boutique Accommodation just moments to Seaford Beach,MELBOURNE,298,5.0
327,"Laurent  ""Laurent"" Balcony Views | Steps from Laneway Vibes",MELBOURNE,422,3.8
328,LuxuryBrandNew2Bedroom:HotTubPoolBarWiFi&CarPark,MELBOURNE,360,3.4
329,2BR Apt Central to Everything in Melbourne CBD w/ CITY VIEW + POOL,MELBOURNE,441,4.4
330,3 Bedroom Family Apartment in the heart of Southbank,MELBOURNE,544,4.7
331,Melbourne Central - StayCentral,MELBOURNE,278,4.3
332,Modern Cottage in Maryborough,MARYBOROUGH (VICTORIA),133,4.0
333,Cove Holiday House quiet near golf club & beach,COWES (VICTORIA),411,4.4
334,BUXTON BEAUTY - Central location river views,SHIRE OF MURRINDINDI,286,4.7
335,NY Style Living &  FREE Secure Car Parking,MELBOURNE,379,2.6
336,Sambuca 5 Mount Hotham,HOTHAM HEIGHTS,686,4.9
337,Gracefield Estate 2 Bedroom Private Cottage,SHIRE OF BAW BAW,442,5.0
338,Docklands 1 Bedroom Pool and Gym,MELBOURNE,192,5.0
339,"""Bliss"" - Pearl Apartments",MELBOURNE,136,4.3
340,Central View - Walking Distance to the Fountain,BENDIGO,185,4.4
341,Perfectly Located Gorgeous St Kilda Queen Bed Apartment,MELBOURNE,131,4.6
342,Cozy & Brand New Western Apartment,MELBOURNE,171,2.3
343,Bienvenu- Self Contained Cottage,HALLS GAP,119,3.6
344,Near Federation Sq Flinders St Station restaurants shopping & graffiti alleys,MELBOURNE,112,4.7
345,Fitzroy north oasis - 3 bedroom  apartment,MELBOURNE,170,4.7
346,The Forrest Cottage in Wheatsheaf,HEPBURN SHIRE,414,5.0
347,Iris Cottage - 24 Prince Street Myrtleford,MYRTLEFORD,269,5.0
348,Designer 3 Bedroom Heritage Central Melbourne CBD,MELBOURNE,338,4.8
349,BIG4 Bendigo Park Lane Holiday Park,CITY OF GREATER BENDIGO,129,4.2
350,TREE TOP - Marysville VIC,MARYSVILLE (VICTORIA),278,4.0
351,Readyset on Upper West Side,MELBOURNE,139,3.9
352,Convenience and Luxurious Comfort in Carnegie,MELBOURNE,333,3.8
353,Wahroonga - in Central Carlton,MELBOURNE,328,5.0
354,2 BR Modern Apartment Melbourne CBD!,MELBOURNE,162,2.6
355,New - Blue Jay in the heart of Daylesford,DAYLESFORD,420,5.0
356,Two story mudbrick home nestled in the Dandenong Ranges.,MELBOURNE,289,4.2
357,Gum Tree View - Welcoming Quiet Getaway Near Boutique Shops,HEALESVILLE,249,4.9
358,Cosmo Stays - Spacious 3-bedroom deluxe townhouse,MELBOURNE,384,4.8
359,The Ritz- large St Kilda apartment w amazing views,MELBOURNE,274,4.8
360,Opposite the beach with Wifi and secure undercover carpark,MELBOURNE,160,4.1
361,Southbank high-rise residence,MELBOURNE,258,3.6
362,Exotic Forest's Edge Sanctuary - Entire 3 Bedroom Cottage,HEALESVILLE,409,4.5
363,3 Bedroom Apt Convenient Location,MELBOURNE,354,5.0
364,City Stay at Melbourne Tower - Southbank **3BR+High Speed WiFi+Netflix+Parking**,MELBOURNE,414,4.9
365,Apartment Geilo 4 Excellent value,FALLS CREEK,387,5.0
