City,Council
Carrajung (3844),Wellington S  
Carrajung Lower (3844),Wellington S  
Carrajung South (3844),Wellington S  
Carranballac (3361),Ararat RC  
Carranballac (3361),Pyrenees S  
Carron (3480),Buloke S  
Carrum (3197),Kingston C  
Carrum Downs (3201),Frankston C  
Carwarp (3494),Mildura RC  
Cashmore (3305),Glenelg S  
Cassilis (3898),East Gippsland S  
Castella (3777),Murrindindi S  
Casterton (3311),Glenelg S  
Castle Creek (3691),Wodonga RC  
Castle Donnington (3585),Swan Hill RC  
Castleburn (3862),Wellington S  
Castlemaine (3450),Mount Alexander S  
Catani (3981),Cardinia S  
Cathcart (3377),Ararat RC  
Cathkin (3714),Murrindindi S  
Catumnal (3537),Loddon S  
Caulfield (3162),Glen Eira C  
Caulfield East (3145),Glen Eira C  
Caulfield North (3161),Glen Eira C  
Caulfield South (3162),Glen Eira C  
Caveat (3660),Murrindindi S  
Cavendish (3314),Southern Grampians S  
Ceres (3221),Greater Geelong C  
Chadstone (3148),Monash C  
Chandlers Creek (3890),East Gippsland S  
Chapel Flat (3352),Ballarat C  
Chapple Vale (3239),Colac Otway S  
Chapple Vale (3239),Corangamite S  
Charam (3318),West Wimmera S  
Charleroi (3695),Indigo S  
Charlton (3525),Buloke S  
Chatsworth (3379),Ararat RC  
Chatsworth (3379),Moyne S  
Chelsea (3196),Kingston C  
Chelsea Heights (3196),Kingston C  
Cheltenham (3192),Bayside C  
Cheltenham (3192),Kingston C  
Chepstowe (3351),Pyrenees S  
Cherokee (3434),Macedon Ranges S  
Cherrilong (3874),Wellington S  
Cherrypool (3401),Northern Grampians S  
Cherrypool (3401),Southern Grampians S  
Cheshunt (3678),Wangaratta RC  
Cheshunt South (3678),Wangaratta RC  
Chesney Vale (3725),Benalla RC  
Chetwynd (3312),Glenelg S  
Chetwynd (3312),West Wimmera S  
Cheviot (3717),Murrindindi S  
Chewton (3451),Mount Alexander S  
Chewton Bushlands (3451),Mt Alexander S  
Childers (3824),Baw Baw S  
Chillingollah (3585),Swan Hill RC  
Chiltern (3683),Indigo S  
Chiltern Valley (3683),Indigo S  
Chinangin (3544),Swan Hill RC  
Chinkapook (3546),Swan Hill RC  
Chintin (3756),Macedon Ranges S  
Chirnside Park (3116),Yarra Ranges S  
Chirrup (3525),Buloke S  
Chocolyn (3260),Corangamite S  
Christies (3962),Wellington S  
Christmas Hills (3775),Nillumbik S  
Chum Creek (3777),Yarra Ranges S  
Churchill (3842),Latrobe C  
Churchill Island (3925),Bass Coast S  
Chute (3373),Pyrenees S  
Clarendon (3352),Moorabool S  
Claretown (3352),Moorabool S  
Clarinda (3169),Kingston C  
Clarkefield (3430),Hume C  
Clarkefield (3430),Macedon Ranges S  
Clarkes Hill (3352),Moorabool S  
Clayton (3168),Monash C  
Clayton South (3169),Kingston C  
Clear Lake (3409),Horsham RC  
Clematis (3782),Cardinia S  
Clematis (3782),Yarra Ranges S  
Clifton Creek (3875),East Gippsland S  
Clifton Hill (3068),Yarra C  
Clifton Springs (3222),Greater Geelong C  
Clonbinane (3658),Mitchell S  
Clover Flat (3315),Glenelg S  
Clover Flat (3315),Southern Grampians S  
Cloverlea (3822),Baw Baw S  
Club Terrace (3889),East Gippsland S  
Clunes (3370),Hepburn S  
Clyde (3978),Casey C  
Clyde North (3978),Casey C  
Clydebank (3851),Wellington S  
Clydesdale (3461),Hepburn S  
Coalville (3825),Baw Baw S  
Coatesville (3165),Glen Eira C  
Cobains (3851),Wellington S  
Cobaw (3442),Macedon Ranges S  
Cobbannah (3862),East Gippsland S  
Cobberas (3900),East Gippsland S  
Cobden (3266),Corangamite S  
Cobram (3643),Moira S  
Cobram East (3644),Moira S  
Cobrico (3266),Corangamite S  
Cobungra (3898),Alpine S  
Cobungra (3898),East Gippsland S  
Coburg (3058),Darebin C  
Coburg (3058),Moreland C  
Coburg North (3058),Darebin C  
Coburg North (3058),Moreland C  
Cocamba (3546),Swan Hill RC  
Cochranes Creek (3475),Loddon S  
Cockatoo (3781),Cardinia S  
Cocoroc (3030),Wyndham C  
Codrington (3285),Moyne S  
Coghills Creek (3364),Ballarat C  
Cohuna (3568),Gannawarra S  
Coimadai (3340),Moorabool S  
Cokum (3542),Buloke S  
Colac (3250),Colac Otway S  
Colac Colac (3707),Towong S  
Colac East (3250),Colac Otway S  
Colac West (3250),Colac Otway S  
Colbinabbin (3559),Campaspe S  
Colbrook (3342),Moorabool S  
Coldstream (3770),Yarra Ranges S  
Coleraine (3315),Southern Grampians S  
Colignan (3494),Mildura RC  
Collingwood (3066),Yarra C  
Colliver (3630),Greater Shepparton C  
Combienbar (3889),East Gippsland S  
Concongella (3381),Northern Grampians S  
Condah (3303),Glenelg S  
Condah Swamp (3286),Moyne S  
Congupna (3633),Greater Shepparton C  
Connewarre (3227),Greater Geelong C  
Connewarre (3227),Surf Coast S  
Connewirrecoo (3318),West Wimmera S  
Coojar (3315),Southern Grampians S  
Coolaroo (3048),Hume C  
Cooma (3616),Greater Shepparton C  
Coomboona (3629),Greater Shepparton C  
Coomoora (3461),Hepburn S  
Coongulla (3860),Wellington S  
Coonooer Bridge (3478),Buloke S  
Coonooer Bridge (3478),Loddon S  
Coonooer Bridge (3478),Nthn Grampians S  
Coonooer West (3478),Nthn Grampians S  
Coopers Creek (3825),Baw Baw S  
Cooriemungle (3268),Corangamite S  
Cope Cope (3480),Buloke S  
Cope Cope (3480),Northern Grampians S  
Cora Lynn (3814),Cardinia S  
Corack (3480),Buloke S  
Corack East (3480),Buloke S  
Coragulac (3249),Colac Otway S  
Coral Bank (3691),Alpine S  
Corindhap (3352),Golden Plains S  
Corinella (3984),Bass Coast S  
Corio (3214),Greater Geelong C  
Corndale (3311),Glenelg S  
Cornella (3551),Campaspe S  
Cornishtown (3683),Indigo S  
Coronet Bay (3984),Bass Coast S  
Corop (3559),Campaspe S  
Cororooke (3254),Colac Otway S  
Corringle (3888),East Gippsland S  
Corryong (3707),Towong S  
Corunnun (3249),Colac Otway S  
Cosgrove (3631),Greater Shepparton C  
Cosgrove South (3631),Greater Shepparton C  
Costerfield (3523),Greater Bendigo C  
Cotham (3101),Boroondara C  
Cotswold (3465),Central Goldfields S  
Cottles Bridge (3099),Nillumbik S  
Cowa (3862),Wellington S  
Cowangie (3506),Mildura RC  
Cowes (3922),Bass Coast S  
Cowleys Creek (3268),Corangamite S  
