Hotel_name,Hotel_city,Hotel_price
Retro mid century home in historic gold-fields township.,Maldon (Victoria),A$167 / night
"Deluxe Apartment in Ringwood, Victoria.",Melbourne,A$205 / night
A Cozy Apartment Next to Crown Casino,Melbourne,A$161 / night
"""Abbey Road"" - Pearl Apartments",Melbourne,A$139 / night
Rest Haven,Shire of South Gippsland,A$160 / night
City View South Yarra Apart*CarPark*Netflix*Wine,Melbourne,A$201 / night
Sorella Grande - The Pole House Big Sister,Fairhaven (Victoria),"A$2,301 / night"
Great Southbank apartment with stunning view,Melbourne,A$161 / night
"Ground Floor Apartment with Courtyard, WiFi and Off Street Parking",Melbourne,A$113 / night
"""Great location in the CBD""",Melbourne,A$157 / night
Richmond Apartment with Parking - Walk to MCG,Melbourne,A$133 / night
One bedroom unit in Camberwell. Off street parking.,Melbourne,A$185 / night
SuperbTwo Bedroom2 bathroom apartment opposite the Racecourse (unit8),Shire of Yarra Ranges,A$221 / night
The Nook Studio Apartment,Melbourne,A$158 / night
1200 Gor - Perched high above the endless expanse of the Pacific Ocean,Lorne,"A$5,533 / night"
Sapphire 1BR Apt + Free Wifi - Centrally Located in CBD Melbourne,Melbourne,A$323 / night
Lakeside Villas Nagambie,Nagambie,A$296 / night
Perfect location 2 Bdrs apartment@Glen Waverley,Melbourne,A$240 / night
Ballarat Escape - Fernleigh House,Ballarat,A$206 / night
ouble Room with Private Bathroom and Kitchenette near Murray River,Shire of Moira,A$83 / night
"""Great location opposite southern cross station""",Melbourne,A$117 / night
villa 2 fully self contained,Golden Beach (Victoria),A$177 / night
Brand New Luxury Studio Apartment on Gregory Street,Ballarat,A$125 / night
Manhattan · Unique CBD Apartment with Gym + Pool,Melbourne,A$199 / night
Centre of Collingwood Gem,Melbourne,A$197 / night
Stylish Southbank Apartment,Melbourne,A$206 / night
"Comfortable, clean and charming St Kilda studio with Wifi and bikes",Melbourne,A$132 / night
Executive 2 Bed / 1 Bath with Balcony Freshwater Place,Melbourne,A$494 / night
Fully Furnished 1 bedroom Apt 1312/250 Elizabeth St CBD,Melbourne,A$150 / night
"Lavender Suite at Sage Cottage, The Oaks, Lilydale",Melbourne,A$191 / night
Perfectly located in the heart of the Melbourne CBD,Melbourne,A$240 / night
CBD fringe Apartment,Melbourne,A$207 / night
Shocko 1 - Boutique Accommodation - CBD,Melbourne,A$226 / night
JOLI Opposite MCG & Botanical Gardens,Melbourne,A$196 / night
Ultra-Modern Luxury With Views At Kai Waterfront,Melbourne,A$188 / night
Stone's Throw Cottage B&B Belgrave,Melbourne,A$219 / night
City Apartment with River View,Melbourne,A$185 / night
BOUTIQUE STAYS – The Residence,Melbourne,A$570 / night
Central Melbourne CBD Apartment with Gym and Pool,Melbourne,A$152 / night
2 Bedroom deluxe apt 233 Collins st with balcony,Melbourne,A$271 / night
DeeeLuxe - soo.. sophisticated,Melbourne,A$193 / night
Deluxe Modern New Apartment@Melbourne New Landmark,Melbourne,A$279 / night
"""Claremont"" - Pearl Apartments",Melbourne,A$139 / night
"City Edge Apartment, Spacious Terrace, Views to Melbourne City",Melbourne,A$213 / night
Studio apartment in desirable tree lined locale. Walk to Hospital & town,Bendigo,A$117 / night
Artistic Apartment in Sunny Elwood near St Kilda,Melbourne,A$211 / night
