,Council,City
419,HepburnS,Broomfield
420,HindmarshS,Broughton
421,WestWimmeraS,Broughton
422,BallaratC,BrownHill
423,IndigoS,BrownsPlains
424,IndigoS,Bruarong
425,WhittleseaC,BrucesCreek
426,CorangamiteS,Brucknell
427,MoyneS,Brucknell
428,MorelandC,Brunswick
429,MorelandC,BrunswickEast
430,MorelandC,BrunswickWest
431,EastGippslandS,Bruthen
432,AraratRC,Buangor
433,PyreneesS,Buangor
434,EastGippslandS,Buchan
435,EastGippslandS,BuchanSouth
436,AlpineS,Buckland
437,SurfCoastS,Buckley
438,SthnGrampiansS,BuckleySwamp
439,BulokeS,Buckrabanyule
440,LoddonS,Buckrabanyule
441,WellingtonS,BudgeeBudgee
442,LatrobeC,Budgeree
443,GannawarraS,BudgerumEast
444,SouthGippslandS,Buffalo
445,AlpineS,BuffaloCreek
446,AlpineS,BuffaloRiver
447,SouthernGrampiansS,Bulart
448,EastGippslandS,Buldah
449,SwanHillRC,Bulga
450,NorthernGrampiansS,Bulgana
451,HumeC,Bulla
452,CorangamiteS,Bullaharre
453,HepburnS,Bullarook
454,MooraboolS,Bullarook
455,HepburnS,Bullarto
456,HepburnS,BullartoSouth
457,MooraboolS,BullartoSouth
458,ManninghamC,Bulleen
459,MacedonRangesS,Bullengarook
460,TowongS,Bullioh
461,EastGippslandS,Bullumwaal
462,BawBawS,BulnBuln
463,BawBawS,BulnBulnEast
464,EastGippslandS,Bumberrah
465,GreaterSheppartonC,Bunbartha
466,WellingtonS,Bundalaguah
467,MoiraS,Bundalong
468,MoiraS,BundalongSouth
469,EastGippslandS,Bundara
470,MooraboolS,Bunding
471,BanyuleC,Bundoora
472,DarebinC,Bundoora
473,WhittleseaC,Bundoora
474,CentralGoldfieldsS,BungBong
475,PyreneesS,BungBong
476,ColacOtwayS,Bungador
477,MooraboolS,Bungal
478,HorshamRC,Bungalally
479,MooraboolS,Bungaree
480,BenallaRC,Bungeet
481,BenallaRC,BungeetWest
482,TowongS,Bungil
483,BulokeS,Bunguluke
484,BallaratC,Buninyong
485,MooraboolS,Buninyong
486,BallaratC,BunkersHill
487,CardiniaS,Bunyip
488,CardiniaS,BunyipNorth
489,WellingtonS,Buragwonduc
490,GannawarraS,BurkesBridge
491,LoddonS,BurkesFlat
492,PyreneesS,Burnbank
493,CampaspeS,Burnewang
494,YarraC,Burnley
495,MeltonS,Burnside
496,MeltonS,BurnsideHeights
497,MoiraS,Burramine
498,MoiraS,BurramineSouth
499,TowongS,Burrowyne
500,BallaratC,Burrumbeet
501,PyreneesS,Burrumbeet
502,BoroondaraC,Burwood
503,MonashC,Burwood
504,WhitehorseC,Burwood
505,WhitehorseC,BurwoodEast
506,MoyneS,Bushfield
507,WarrnamboolC,Bushfield
508,WellingtonS,BushyPark
509,EastGippslandS,ButchersRidge
510,MurrindindiS,Buxton
511,GlenelgS,Byaduk
512,MoyneS,Byaduk
513,SouthernGrampiansS,Byaduk
514,SthnGrampiansS,ByadukNorth
515,WangarattaRC,Byawatha
516,MacedonRangesS,Bylands
517,MitchellS,Bylands
518,GreaterSheppartonC,Byrneside
519,EastGippslandS,Cabanandra
520,MilduraRC,Cabarita
521,HepburnS,CabbageTree
522,EastGippslandS,CabbageTreeCreek
523,BrimbankC,Cairnlea
524,BrimbankC,CalderPark
525,CardiniaS,Caldermeade
526,GreaterBendigoC,CaliforniaGully
527,LoddonS,Calivil
528,NorthernGrampiansS,Callawadda
529,LatrobeC,Callignee
530,WellingtonS,CalligneeNorth
531,WellingtonS,CalligneeSouth
532,WellingtonS,Calrossie
533,EastGippslandS,Calulu
534,YarraRangesS,Cambarville
535,BoroondaraC,Camberwell
536,BoroondaraC,CamberwellEast
537,GoldenPlainsS,CambrianHill
538,CampaspeS,CampaspeWest
539,HumeC,Campbellfield
540,NthnGrampiansS,CampbellsBridge
541,MtAlexanderS,CampbellsCreek
542,LoddonS,CampbellsForest
543,CentralGoldfieldsS,Campbelltown
544,HepburnS,Campbelltown
545,MountAlexanderS,Campbelltown
546,CorangamiteS,Camperdown
547,BallaratC,Canadian
548,LoddonS,CanaryIsland
549,GreaterSheppartonC,Caniambo
550,EastGippslandS,CannRiver
551,GannawarraS,Cannie
552,CaseyC,CannonsCreek
553,YarriambiackS,Cannum
554,BoroondaraC,Canterbury
555,GlenelgS,CapeBridgewater
556,GoldenPlainsS,CapeClear
557,EastGippslandS,CapeConran
558,ColacOtwayS,CapeOtway
559,BassCoastS,CapePaterson
560,MorningtonPenS,CapeSchanck
561,BassCoastS,CapeWoolamai
562,GannawarraS,CapelsCrossing
563,CampaspeS,CaragCarag
564,CentralGoldfieldsS,Caralulup
565,MoyneS,Caramut
566,SouthernGrampiansS,Caramut
567,NorthernGrampiansS,Carapooee
568,NthnGrampiansS,CarapooeeWest
569,GlenelgS,Carapook
570,SouthernGrampiansS,Carapook
571,WangarattaRC,Carboor
572,BallaratC,Cardigan
573,BallaratC,CardiganVillage
574,CardiniaS,Cardinia
575,MilduraRC,Cardross
576,MooraboolS,Cargerie
577,MilduraRC,Carina
578,BawBawS,Caringal
579,CentralGoldfieldsS,Carisbrook
580,MountAlexanderS,Carisbrook
581,ColacOtwayS,CarlisleRiver
582,CorangamiteS,CarlisleRiver
583,MacedonRangesS,Carlsruhe
584,MelbourneC,Carlton
585,MelbourneC,CarltonNorth
586,YarraC,CarltonNorth
