City,Council
ChappleVale(3239),ColacOtwayS
ChappleVale(3239),CorangamiteS
Charam(3318),WestWimmeraS
Charleroi(3695),IndigoS
Charlton(3525),BulokeS
Chatsworth(3379),AraratRC
Chatsworth(3379),MoyneS
Chelsea(3196),KingstonC
ChelseaHeights(3196),KingstonC
Cheltenham(3192),BaysideC
Cheltenham(3192),KingstonC
Chepstowe(3351),PyreneesS
Cherokee(3434),MacedonRangesS
Cherrilong(3874),WellingtonS
Cherrypool(3401),NorthernGrampiansS
Cherrypool(3401),SouthernGrampiansS
Cheshunt(3678),WangarattaRC
CheshuntSouth(3678),WangarattaRC
ChesneyVale(3725),BenallaRC
Chetwynd(3312),GlenelgS
Chetwynd(3312),WestWimmeraS
Cheviot(3717),MurrindindiS
Chewton(3451),MountAlexanderS
ChewtonBushlands(3451),MtAlexanderS
Childers(3824),BawBawS
Chillingollah(3585),SwanHillRC
Chiltern(3683),IndigoS
ChilternValley(3683),IndigoS
Chinangin(3544),SwanHillRC
Chinkapook(3546),SwanHillRC
Chintin(3756),MacedonRangesS
ChirnsidePark(3116),YarraRangesS
Chirrup(3525),BulokeS
Chocolyn(3260),CorangamiteS
Christies(3962),WellingtonS
ChristmasHills(3775),NillumbikS
ChumCreek(3777),YarraRangesS
Churchill(3842),LatrobeC
ChurchillIsland(3925),BassCoastS
Chute(3373),PyreneesS
Clarendon(3352),MooraboolS
Claretown(3352),MooraboolS
Clarinda(3169),KingstonC
Clarkefield(3430),HumeC
Clarkefield(3430),MacedonRangesS
ClarkesHill(3352),MooraboolS
Clayton(3168),MonashC
ClaytonSouth(3169),KingstonC
ClearLake(3409),HorshamRC
Clematis(3782),CardiniaS
Clematis(3782),YarraRangesS
CliftonCreek(3875),EastGippslandS
CliftonHill(3068),YarraC
CliftonSprings(3222),GreaterGeelongC
Clonbinane(3658),MitchellS
CloverFlat(3315),GlenelgS
CloverFlat(3315),SouthernGrampiansS
Cloverlea(3822),BawBawS
ClubTerrace(3889),EastGippslandS
Clunes(3370),HepburnS
Clyde(3978),CaseyC
ClydeNorth(3978),CaseyC
Clydebank(3851),WellingtonS
Clydesdale(3461),HepburnS
Coalville(3825),BawBawS
Coatesville(3165),GlenEiraC
Cobains(3851),WellingtonS
Cobaw(3442),MacedonRangesS
Cobbannah(3862),EastGippslandS
Cobberas(3900),EastGippslandS
Cobden(3266),CorangamiteS
Cobram(3643),MoiraS
CobramEast(3644),MoiraS
Cobrico(3266),CorangamiteS
Cobungra(3898),AlpineS
Cobungra(3898),EastGippslandS
Coburg(3058),DarebinC
Coburg(3058),MorelandC
CoburgNorth(3058),DarebinC
CoburgNorth(3058),MorelandC
Cocamba(3546),SwanHillRC
CochranesCreek(3475),LoddonS
Cockatoo(3781),CardiniaS
Cocoroc(3030),WyndhamC
Codrington(3285),MoyneS
CoghillsCreek(3364),BallaratC
Cohuna(3568),GannawarraS
Coimadai(3340),MooraboolS
Cokum(3542),BulokeS
Colac(3250),ColacOtwayS
ColacColac(3707),TowongS
ColacEast(3250),ColacOtwayS
ColacWest(3250),ColacOtwayS
Colbinabbin(3559),CampaspeS
Colbrook(3342),MooraboolS
Coldstream(3770),YarraRangesS
Coleraine(3315),SouthernGrampiansS
Colignan(3494),MilduraRC
Collingwood(3066),YarraC
Colliver(3630),GreaterSheppartonC
Combienbar(3889),EastGippslandS
Concongella(3381),NorthernGrampiansS
Condah(3303),GlenelgS
CondahSwamp(3286),MoyneS
Congupna(3633),GreaterSheppartonC
Connewarre(3227),GreaterGeelongC
Connewarre(3227),SurfCoastS
Connewirrecoo(3318),WestWimmeraS
Coojar(3315),SouthernGrampiansS
Coolaroo(3048),HumeC
Cooma(3616),GreaterSheppartonC
Coomboona(3629),GreaterSheppartonC
Coomoora(3461),HepburnS
Coongulla(3860),WellingtonS
CoonooerBridge(3478),BulokeS
CoonooerBridge(3478),LoddonS
CoonooerBridge(3478),NthnGrampiansS
CoonooerWest(3478),NthnGrampiansS
CoopersCreek(3825),BawBawS
Cooriemungle(3268),CorangamiteS
CopeCope(3480),BulokeS
CopeCope(3480),NorthernGrampiansS
CoraLynn(3814),CardiniaS
Corack(3480),BulokeS
CorackEast(3480),BulokeS
Coragulac(3249),ColacOtwayS
CoralBank(3691),AlpineS
Corindhap(3352),GoldenPlainsS
Corinella(3984),BassCoastS
Corio(3214),GreaterGeelongC
Corndale(3311),GlenelgS
Cornella(3551),CampaspeS
Cornishtown(3683),IndigoS
CoronetBay(3984),BassCoastS
Corop(3559),CampaspeS
Cororooke(3254),ColacOtwayS
Corringle(3888),EastGippslandS
Corryong(3707),TowongS
Corunnun(3249),ColacOtwayS
Cosgrove(3631),GreaterSheppartonC
CosgroveSouth(3631),GreaterSheppartonC
Costerfield(3523),GreaterBendigoC
Cotham(3101),BoroondaraC
Cotswold(3465),CentralGoldfieldsS
CottlesBridge(3099),NillumbikS
Cowa(3862),WellingtonS
Cowangie(3506),MilduraRC
Cowes(3922),BassCoastS
CowleysCreek(3268),CorangamiteS
Cowwarr(3857),LatrobeC
Cowwarr(3857),WellingtonS
Craigie(3465),CentralGoldfieldsS
Craigieburn(3064),HumeC
Cranbourne(3977),CaseyC
CranbourneEast(3977),CaseyC
CranbourneNorth(3977),CaseyC
CranbourneSouth(3977),CaseyC
CranbourneWest(3977),CaseyC
CreekJunction(3669),BenallaRC
CreekJunction(3669),MansfieldS
CreekJunction(3669),StrathbogieS
CreekView(3558),CampaspeS
Creighton(3666),StrathbogieS
CreightonsCreek(3666),StrathbogieS
Cresmorne(3121),YarraC
Cressy(3322),ColacOtwayS
Cressy(3322),CorangamiteS
Cressy(3322),GoldenPlainsS
Creswick(3363),BallaratC
Creswick(3363),HepburnS
CreswickNorth(3363),HepburnS
CribPoint(3919),MorningtonPeninsulaS
Cromer(3193),BaysideC
Crookayan(3858),WellingtonS
CrookedRiver(3862),WellingtonS
CrossRoads(3373),PyreneesS
Crossley(3283),MoyneS
Crossover(3821),BawBawS
Crowlands(3377),AraratRC
Crowlands(3377),NorthernGrampiansS
Crowlands(3377),PyreneesS
CroxtonEast(3301),SouthernGrampiansS
Croydon(3136),MaroondahC
CroydonHills(3136),MaroondahC
CroydonNorth(3136),MaroondahC
CroydonSouth(3136),MaroondahC
Crymelon(3393),HindmarshS
Crymelon(3393),YarriambiackS
Cudgee(3265),MoyneS
Cudgewa(3705),TowongS
Culgoa(3530),BulokeS
Culla(3315),SouthernGrampiansS
Cullen(3568),GannawarraS
Cullulleraine(3496),MilduraRC
Cundare(3251),ColacOtwayS
