,Title,City
200,"Bush Inn, Mount Macedon",Mount Macedon 
201,"Commercial, Camperdown",Camperdown 
202,"Grange Family, Hamilton",Hamilton 
203,"Arthurs Seat, Dromana",Dromana 
204,"Arthurs Seat, Dromana",Dromana 
205,"Dromana, Dromana",Dromana 
206,"Criterion, Sale",corner York & Macalister Sts 
207,"Royal Exchange, Sale",corner Raymond & Foster Sts 
208,"Travellers Rest, Branxholme",Branxholme 
209,"Shamrock, Kyneton",Mollison St 
210,"Turf Club, Buln Buln",Buln Buln 
211,"Ditchley Park Hotel & Post Office, Beech Forest",Beech Forest 
212,"Golden Point, Ballarat",corner Eureka St & Specimen Hill 
213,"Perseverance, Ballarat",Chisholm St 
214,"Royal Mail, Mooroopna",corner Main & Archer Sts 
215,"Railway, Bannockburn",Bannockburn 
216,"Bull & Mouth, Creswick",Albert St 
217,"Burke & Wills, Ballarat",Peel St 
218,"Commercial, Leongatha",Leongatha 
219,"Farmers Arms, Nhill",Nhill 
220,"Railway, Nathalia",Elizabeth St 
221,"Peters Hotel & Store, Carapoore",Carapoore 
222,"Exchange, Horsham",Horsham 
223,"National, Ballarat",Armstrong St 
224,"Boggy Bridge, Nirranda",Nirranda 
225,"Rushworth, Rushworth",Rushworth 
226,"Commercial, Ballan",Ballan 
227,"Macs, Portland",Portland 
228,"Mordialloc, Mordialloc",Mordialloc 
229,"Coleraine, Coleraine",Whyte St 
230,"Criterion, Sale",corner York & Richardson Sts 
231,"Criterion, Sale",corner York & Richardson Sts 
232,"Newsmarket, Kyneton",Kyneton 
233,"Steam Packet, Echuca",Hare St 
234,"Shamrock Hotel & Store, Mooroopna",Mooroopna 
235,"McKenzies Family, Portland",corner Gawler & Percy Sts 
236,"Angel, Ballarat",Victoria St 
237,"Esplanade, Inverloch",Inverloch 
238,"Squatters Arms, Lawloit",Lawloit 
239,"Golden Age, Maryborough",Maryborough 
240,"Half-way, Arnoldss Bridge",Arnoldss Bridge 
241,"Criterion, Clunes",Clunes 
242,"Southern Cross, Ballarat",Sturt St 
243,"Commercial, Warrnambool",Warrnambool 
244,"Queens Head, Lockwood",Lockwood 
245,"Richardson, Donald",Donald 
246,"Times, Ballarat",Victoria St 
247,"Royal, Bacchus Marsh",Bacchus Marsh 
248,"Commercial, Mooroopna",Morrell St 
249,"Sir John Franklin, Ballarat",Grant St 
250,"Clare Castle, Kyneton",Kyneton 
251,"Bridge Inn, Casterton",Casterton 
252,"Star, Sale",Raymond St 
253,"Ye Kings Arms, Neerim South",Neerim South 
254,"Morrells Junction, Mooroopna",Main St 
255,"Victoria, Benalla",Benalla 
256,"Hampton Court, Ballarat",Sturt St 
257,"Market, Ballarat",Bridge St 
258,"McIvor Inn, Heathcote",Kilmore Rd 
259,"Shamrock, Ballarat",Main Rd 
260,"Black Horse Inn, Ballarat",Drummond St 
261,"Galatea, Ballarat",Peel St 
262,"Commercial, Stawell",Stawell 
263,"Warrnambool, Warrnambool",corner Banyan & Merri Sts 
264,"Crown & Sceptre, Cardigan",Cardigan 
265,"Esplanade, Inverloch",Inverloch 
266,"Bird in Hand, Ballarat",Victoria St 
267,"Royal, Kerang",Kerang 
268,"North Star, Ballarat",Victoria St 
269,"Northages, Ballarat",Victoria St 
270,"Woolpack, Bacchus Marsh",Bacchus Marsh 
271,"Palace, Echuca",corner Hare & Heygarth Sts 
272,"American, Ballarat",Skipton St 
