tourist_site_name,tourist_site_address,tourist_site_rating,tourist_site_city
South Surrey Park,"909-911 Riversdale Rd, Surrey Hills VIC 3127, Australia",4.4,CAMBERWELL
Buckingham Reserve,"Kororoit Creek Trail, Sunshine West VIC 3020, Australia",4.5,CAMBERWELL
Kevin Wheelahan gardens,"50 Devonshire Rd, Sunshine VIC 3020, Australia",4.3,SUNSHINE
Sunvale Community Park,"20 Neil St, Sunshine VIC 3020, Australia",4.7,SUNSHINE
Collenso Park,"65 Collenso St, Sunshine West VIC 3020, Australia",4.2,SUNSHINE
Pizzey Street Reserve,"17 Pizzey St, Sunshine VIC 3020, Australia",3.7,SUNSHINE
Selwyn Park,"Albion VIC 3020, Australia",4.3,SUNSHINE
Arthur Beachley Reserve,"Ardoyne St, Sunshine VIC 3020, Australia",4.2,SUNSHINE
Parsons Reserve,"Sunshine VIC 3020, Australia",3.9,SUNSHINE
Derrimut Grassland Nature Conservation Reserve,"Derrimut VIC 3030, Australia",4.6,SUNSHINE
More Park,"Ardeer VIC 3022, Australia",4.3,SUNSHINE
Melbourne's Living Museum of the West,"Pipemakers Park, Van Ness Avenue, Maribyrnong VIC 3032, Australia",4.1,SUNSHINE
R T Pollard Gardens,"Sunshine VIC 3020, Australia",4.1,SUNSHINE
The watcher,"75 Valley Lake Blvd, Keilor East VIC 3033, Australia",4.3,SUNSHINE
Melbourne Murugan Temple,"17-19 Knight Ave, Sunshine North VIC 3020, Australia",4.5,SUNSHINE
Flight Centre Sunshine Marketplace,"Shop 27, Sunshine Marketplace, 80 Harvester Rd, Sunshine VIC 3020, Australia",3.9,SUNSHINE
Canning Reserve,"2A Canning St, Avondale Heights VIC 3034, Australia",4.5,SUNSHINE
Quang Minh Buddhist Temple,"18 Burke St, Braybrook VIC 3019, Australia",4.7,SUNSHINE
Ashley gardens caravan park,"3012/199 Ballarat Rd, Maidstone VIC 3012, Australia",4.0,SUNSHINE
Kevin Flint Reserve,"Furlong Rd, Cairnlea VIC 3023, Australia",4.2,SUNSHINE
Wycheproof Bushland Reserve,"Gretgrix Rd, Wycheproof VIC 3527, Australia",0.0,SUNSHINE
Wycheproof Historical Society,"38 High St, Wycheproof VIC 3527, Australia",0.0,SUNSHINE
