Hotel_name,Hotel_city,Hotel_price,Hotel_rating
2BR Apt Central to Everything in Melbourne CBD w/ CITY VIEW + POOL,Melbourne,A$441 / night,4.4
3 Bedroom Family Apartment in the heart of Southbank,Melbourne,A$544 / night,4.7
Daisy Villa – close to Mel. Airport & Hume Fwy.,Victoria,A$238 / night,4.8
Melbourne Central - StayCentral,Melbourne,A$278 / night,4.3
Modern Cottage in Maryborough,Maryborough (Victoria),A$133 / night,4.0
"Cove Holiday House, quiet, near golf club & beach",Cowes (Victoria),A$411 / night,4.4
"BUXTON BEAUTY - Central location, river views",Shire of Murrindindi,A$286 / night,4.7
NY Style Living &  FREE Secure Car Parking,Melbourne,A$379 / night,2.6
"Sambuca 5, Mount Hotham",Hotham Heights,A$686 / night,4.9
Cohuna Waterfront Holiday Home,Victoria,A$490 / night,5.0
Gracefield Estate 2 Bedroom Private Cottage,Shire of Baw Baw,A$442 / night,5.0
Docklands 1 Bedroom Pool and Gym,Melbourne,A$192 / night,5.0
"""Bliss"" - Pearl Apartments",Melbourne,A$136 / night,4.3
Central View - Walking Distance to the Fountain,Bendigo,A$185 / night,4.4
"Perfectly Located, Gorgeous St Kilda Queen Bed Apartment",Melbourne,A$131 / night,4.6
Cozy & Brand New Western Apartment,Melbourne,A$171 / night,2.3
Bienvenu- Self Contained Cottage,Halls Gap,A$119 / night,3.6
"Near Federation Sq, Flinders St Station, restaurants, shopping & graffiti alleys",Melbourne,A$112 / night,4.7
Fitzroy north oasis - 3 bedroom  apartment,Melbourne,A$170 / night,4.7
The Forrest Cottage in Wheatsheaf,Hepburn Shire,A$414 / night,5.0
Iris Cottage - 24 Prince Street Myrtleford,Myrtleford,A$269 / night,5.0
