Title,Location,Name,Relationship,Date,Source
"Railway, Ballarat",Wills St (Ballarat Vic.),"Dooley, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Foresters Inn, Harrow",Harrow (Vic.),"Doughney, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Rochester",corner Mackay & Gillies Sts (Rochester Vic.),"Downey, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mt Egerton, Mount Egerton",Mount Egerton (Vic.),"Downey, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Myrniong, Myrniong",Myrniong (Vic.),"Druary, William F",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victorian, Byrneside",Byrneside (Vic.),"Dunn, Joseph L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand National, Ballarat",Armstrong St (Ballarat Vic.),"Dwyer, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Exchange, Foster",Foster (Vic.),"Edwards, L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lancefield Hotel & Store, Mooroopna",Mooroopna (Vic.),Elder,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Port Phillip, Ballarat",Doveton St (Ballarat Vic.),"Emery, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way House, Ballarat",Skipton St (Ballarat Vic.),"Fancy, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Ballarat",Magpie St (Ballarat Vic.),"Farmer, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lillimur, Lillimur",Lillimur (Vic.),"Fay, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Sale",Pearson St (Sale Vic.),"Feely, Michael",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand Terminus, Bairnsdale",Bairnsdale (Vic.),"Feinberg, Margaret Mary",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Ballarat",Grenville St (Ballarat Vic.),"Finworth, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marysville, Marysville",Marysville (Vic.),Fisher,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Sale",Sale (Vic.),"Fitchett, R",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Bannockburn",Bannockburn (Vic.),"Flahive, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fawn, Ballarat",Sturt St (Ballarat Vic.),"Flannery, Norah",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Mortlake",Dunlop St (Mortlake Vic.),"Fogarty, Andrew",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
